field,label,support,share,ratio_to_max,balance_status,recommendations
intent,PRODUCT_INFO,3,0.3,1.0,NORMAL,NONE
intent,DELIVERY,2,0.2,0.6667,NORMAL,NONE
intent,STOCK_AVAILABILITY,2,0.2,0.6667,NORMAL,NONE
intent,COMPATIBILITY,1,0.1,0.3333,MINORITY,REVIEW_LABEL_COVERAGE|LOSS_WEIGHTING_CANDIDATE|TARGETED_SYNTHETIC_CANDIDATE
intent,REFUND_CANCEL,1,0.1,0.3333,MINORITY,REVIEW_LABEL_COVERAGE|LOSS_WEIGHTING_CANDIDATE|TARGETED_SYNTHETIC_CANDIDATE
intent,RESTOCK,1,0.1,0.3333,MINORITY,REVIEW_LABEL_COVERAGE|LOSS_WEIGHTING_CANDIDATE|TARGETED_SYNTHETIC_CANDIDATE
category,BOARD_GAME,6,0.6,1.0,NORMAL,NONE
category,EXPANSION,3,0.3,0.5,NORMAL,NONE
category,ACCESSORY,1,0.1,0.1667,MINORITY,REVIEW_LABEL_COVERAGE|LOSS_WEIGHTING_CANDIDATE|TARGETED_SYNTHETIC_CANDIDATE
issue,INVENTORY,3,0.3,1.0,NORMAL,NONE
issue,NONE,3,0.3,1.0,NORMAL,NONE
issue,DELIVERY_DELAY,2,0.2,0.6667,NORMAL,NONE
issue,COMPATIBILITY,1,0.1,0.3333,MINORITY,REVIEW_LABEL_COVERAGE|LOSS_WEIGHTING_CANDIDATE|TARGETED_SYNTHETIC_CANDIDATE
issue,REFUND_CANCEL,1,0.1,0.3333,MINORITY,REVIEW_LABEL_COVERAGE|LOSS_WEIGHTING_CANDIDATE|TARGETED_SYNTHETIC_CANDIDATE
